公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
玖富金科控股集团有限责任公司,玖富集团,2000人以上,D轮及以上,朝阳区,资深运维工程师,3-5年,本科,20k-30k,大平台
光环有云（北京）网络服务有限公司,光环有云,15-50人,不需要融资,朝阳区,运维工程师,1-3年,本科,8k-12k,"发展空间大,福利丰厚,弹性工时"
南京木清维兴信息技术有限公司,南京木清维兴,15-50人,A轮,海淀区,高级运维工程师,1-3年,本科,15k-30k,五险一金 免费午餐 行业大牛
北京修齐治平科技有限公司,爱云校,500-2000人,C轮,朝阳区,运维工程师-应用方向,3-5年,本科,15k-20k,"百度T11,六险一金,12天年假"
蓝信移动（北京）科技有限公司,蓝信移动（北京）科技有限公司,150-500人,B轮,朝阳区,高级运维工程师,5-10年,本科,15k-25k,"360旗下,靠谱平台,薪资福利好,技术成长多"
上海媒智科技有限公司,媒智科技,15-50人,不需要融资,朝阳区,运维工程师,1-3年,本科,6k-8k,"股权激励,成长空间,人性化管理,氛围好"
卓越运维（北京）科技有限公司,卓越运维,500-2000人,A轮,海淀区,系统运维工程师,1-3年,大专,4k-6k,"五险一金,发展前景好,加班补助,福利多多"
北京数美时代科技有限公司,数美,150-500人,B轮,朝阳区,运维工程师,1-3年,本科,15k-25k,"大牛如云,技术氛围,大佬领投,全员持股"
北京承启通科技有限公司,承启通,150-500人,不需要融资,石景山区,运维工程师,3-5年,本科,15k-25k,发展空间
特斯联（北京）科技有限公司,特斯联,150-500人,B轮,朝阳区,运维工程师,3-5年,大专,12k-18k,"发展,成长"
达飞云贷科技（北京）有限公司,达飞云贷,2000人以上,不需要融资,朝阳区,运维工程师,3-5年,本科,15k-30k,"平台大,项目佳,领导好,晋升快"
北京三快在线科技有限公司,美团点评,2000人以上,D轮及以上,朝阳区,高级运维工程师,1-3年,硕士,25k-40k,"期权,带薪假"
北京红赢科技有限公司,红赢科技,50-150人,不需要融资,海淀区,运维工程师,5-10年,本科,20k-30k,"五险一金,科技创新"
北京庖丁科技有限公司,庖丁科技,50-150人,A轮,朝阳区,运维工程师,不限,本科,10k-20k,"五险一金,弹性工作,自助午餐,下午茶"
上海道客网络科技有限公司,DAOCLOUD,150-500人,B轮,海淀区,高级运维工程师,3-5年,本科,15k-25k,"大牛环绕,弹性工作,福利优厚"
北京云联万维技术有限公司,云联万维,15-50人,天使轮,朝阳区,云运维工程师,3-5年,本科,15k-30k,"团队给力,绩效奖金,弹性工作,福利齐全"
北京数猎天下科技有限公司,DataHunter,50-150人,A轮,海淀区,高级运维工程师,3-5年,不限,17k-33k,"五道口,数据可视化,技术大牛,下午茶"
北京连山科技股份有限公司,连山,150-500人,未融资,海淀区,运维工程师,1-3年,本科,10k-15k,六险一金，周末双休，带薪年假，免费午餐
南京蓝鲸人网络科技有限公司,美篇,50-150人,B轮,海淀区,高级运维工程师,3-5年,本科,20k-30k,"10点上班,扁平管理,牛人多,工作日出游"
北京正奇联讯科技有限公司,正奇联讯,150-500人,上市公司,朝阳区,运维工程师,1-3年,本科,4k-7k,"五险一金,补充医疗,平台大,上升空间大"
大象慧云信息技术有限公司,大象慧云,150-500人,不需要融资,海淀区,运维工程师,3-5年,本科,10k-18k,年度体检，节日补贴期权，弹性工作
北京人大金仓信息技术股份有限公司,人大金仓,150-500人,不需要融资,朝阳区,运维工程师,1-3年,本科,6k-9k,"国有企业,六险一金,餐补交补,带薪年假"
互动峰科技(北京)有限公司,好大夫在线,500-2000人,D轮及以上,朝阳区,运维工程师,3-5年,本科,15k-30k,"薪资福利好,发展平台大"
北京东方皆冠科技有限公司,学习宝,150-500人,B轮,朝阳区,运维工程师,1-3年,本科,8k-12k,五险一金
中电信用服务有限公司,中电信用,50-150人,未融资,海淀区,系统运维工程师,3-5年,本科,10k-20k,"五险一金,定期体检,餐补车补,绩效奖金"
北京联龙博通电子商务技术有限公司,联龙博通,2000人以上,D轮及以上,西城区,运维工程师,1-3年,本科,6k-8k,"五险一金,绩效奖金,餐饮补助,节日福利"
北京广视通达数字网络科技有限公司,广视通达,150-500人,B轮,海淀区,系统运维工程师,3-5年,本科,10k-15k,"临近地铁,五险一金,带薪年假,高薪"
北京亿玛创新网络科技有限公司,亿玛在线-互联网营销领航者,500-2000人,上市公司,朝阳区,大数据运维工程师,3-5年,本科,15k-25k,15薪，弹性工作时间，六险一金，每月TB
北京首都在线科技股份有限公司,CDS,150-500人,上市公司,海淀区,运维工程师-云计算方向,3-5年,本科,15k-22k,"工作氛围好,技术大牛"
北京奥鹏远程教育中心有限公司,慕课网,50-150人,不需要融资,海淀区,高级运维工程师,3-5年,本科,15k-25k,"五险一金,补充医疗,节日福利,员工旅游"
北京联华信科技有限公司,联华信,15-50人,未融资,西城区,运维工程师,1-3年,本科,6k-10k,"扁平化管理,年轻团队,氛围轻松,午餐补助"
北大医疗信息技术有限公司,北大医信,500-2000人,不需要融资,海淀区,运维工程师,3-5年,本科,8k-15k,"五险一金,商业保险,定期体检,年底奖金"
珠海随变科技有限公司,必要商城,150-500人,不需要融资,朝阳区,系统运维工程师,5-10年,本科,14k-25k,"首家C2M,盈利平台,技术分享,活跃团队"
北京明天高软科技有限公司,明天高软,50-150人,不需要融资,西城区,运维工程师,1-3年,不限,6k-8k,"五险一金,饭补,补充医疗,年终奖"
北京多贝兄弟信息技术有限公司,多贝网,50-150人,上市公司,海淀区,运维工程师,1-3年,本科,10k-20k,"六险一金,极客氛围,免费午餐,不打卡"
广道高新（北京）科技有限公司,北京广道高新科技公司,15-50人,未融资,朝阳区,运维工程师,3-5年,本科,10k-13k,五险一金，双休，餐补，交通补助，话补等
联通时科（北京）信息技术有限公司,联通时科,150-500人,不需要融资,西城区,系统运维工程师,不限,本科,15k-25k,五险一金，补充医疗、免费体检
北京闪送科技有限公司,闪送,500-2000人,D轮及以上,海淀区,高级运维工程师,5-10年,本科,20k-30k,"五险一金,带薪年假,团队旅游,弹性工作时"
北京高伟达钽云科技有限公司,高伟达,2000人以上,上市公司,西城区,存储运维工程师,5-10年,本科,10k-20k,优厚的福利
北京心向优势信息技术有限公司,好贷网,150-500人,C轮,东城区,运维工程师,3-5年,大专,15k-25k,"六险一金,周末双休,地铁周边,奖金多多"
百融金融信息服务股份有限公司,百融金服,500-2000人,C轮,海淀区,运维工程师,5-10年,本科,15k-30k,"五险一金,弹性工作,福利补贴,补充医疗"
神州数码信息服务股份有限公司,神州信息,2000人以上,上市公司,海淀区,运维工程师,3-5年,本科,8k-15k,"领导好,平台大,上升空间大,接触东西多"
赤子城网络技术（北京）有限公司,赤子城,150-500人,D轮及以上,朝阳区,运维工程师,不限,本科,12k-24k,"14薪,浮动上班,年终奖"
北京金风科创风电设备有限公司,金风科技,2000人以上,上市公司,大兴区,云开发运维工程师,3-5年,本科,18k-35k,"带薪年假,节日福利,五险一金,餐补"
京东金融,京东金融,2000人以上,上市公司,大兴区,数据平台运维工程师,3-5年,本科,15k-30k,班车；餐补
人教数字出版有限公司,人教数字公司,50-150人,不需要融资,海淀区,运维工程师,3-5年,本科,10k-20k,"国企福利,五险二金,企业食堂,行业领先"
北京慕华信息科技有限公司,学堂在线,150-500人,B轮,海淀区,运维工程师,1-3年,本科,10k-20k,"五险一金,交补餐补,节日福利"
